anio_matricula;modulo_matricula;no identificacion;Sexo;Sede;nivel;vertical;clases_matriculadas;anio_ingreso;modulo_ingreso;primera_matricula;ultima_matricula;tipo_ingreso_1
2019;2;8428;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2012;4;2012m5;2019m1;REINGRESO
2019;2;8429;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2012;4;2012m4;2019m1;REINGRESO
2019;2;8430;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2012;4;2012m5;2019m1;REINGRESO
2019;2;8431;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2012;1;2012m1;2019m1;REINGRESO
2019;2;8432;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2012;1;2012m1;2019m1;REINGRESO
2019;2;8433;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2012;1;2012m1;2019m1;REINGRESO
2019;2;8434;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2012;1;2012m1;2019m1;REINGRESO
2019;2;8435;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2012;4;2012m4;2019m1;REINGRESO
2019;2;8436;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2017;4;2017m4;2019m1;REINGRESO
2019;2;8437;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2017;4;2017m4;2019m1;REINGRESO
